date,soilMoisture,airTemperature
21/9/22 00:00,74.5,27.7
21/9/22 00:05,74.5,27.7
21/9/22 00:10,74.5,27.7
21/9/22 00:15,74.5,27.7
21/9/22 00:20,74.5,27.7
21/9/22 00:25,74.5,27.7
21/9/22 00:30,74.5,27.7
21/9/22 00:35,74.5,27.7
21/9/22 00:40,74.5,27.7
21/9/22 00:45,74.5,27.7
21/9/22 00:50,74.5,27.7
21/9/22 00:55,74.5,27.7
21/9/22 01:00,74.5,27.7
21/9/22 01:05,74.5,27.7
21/9/22 01:10,74.5,27.7
21/9/22 01:15,74.5,27.7
21/9/22 01:20,74.5,27.7
21/9/22 01:25,74.5,27.7
21/9/22 01:30,74.6,27.7
21/9/22 01:35,74.5,27.7
21/9/22 01:40,74.5,27.7
21/9/22 01:45,74.5,27.9
21/9/22 01:50,74.5,27.9
21/9/22 01:55,74.5,27.9
21/9/22 02:00,74.5,27.9
21/9/22 02:05,74.5,27.9
21/9/22 02:10,74.5,27.9
21/9/22 02:15,74.5,27.9
21/9/22 02:20,74.5,27.9
21/9/22 02:25,74.5,27.9
21/9/22 02:30,74.5,27.9
21/9/22 02:35,74.5,27.9
21/9/22 02:40,74.5,27.9
21/9/22 02:45,74.5,27.9
21/9/22 02:50,75.2,27.9
21/9/22 02:55,74.5,27.9
21/9/22 03:00,74.5,27.9
21/9/22 03:05,74.5,27.9
21/9/22 03:10,74.5,27.9
21/9/22 03:15,74.5,27.9
21/9/22 03:20,74.5,27.9
21/9/22 03:25,74.5,27.9
21/9/22 03:30,74.5,27.9
21/9/22 03:35,74.5,27.9
21/9/22 03:40,74.5,27.9
21/9/22 03:45,74.5,27.9
21/9/22 03:50,74.5,27.9
21/9/22 03:55,74.5,27.9
21/9/22 04:00,74.5,27.9
21/9/22 04:05,74.5,27.9
21/9/22 04:10,74.5,27.9
21/9/22 04:15,74.5,27.9
21/9/22 04:20,74.5,27.9
21/9/22 04:25,74.5,27.9
21/9/22 04:30,74.5,27.9
21/9/22 04:35,74.5,27.9
21/9/22 04:40,74.5,27.9
21/9/22 04:45,73.5,27.9
21/9/22 04:50,74.5,27.9
21/9/22 04:55,74.5,27.9
21/9/22 05:00,74.5,27.9
21/9/22 05:05,74.5,27.9
21/9/22 05:10,74.5,27.9
21/9/22 05:15,74.5,27.9
21/9/22 05:20,74.5,27.9
21/9/22 05:25,74.5,27.9
21/9/22 05:30,74.5,27.9
21/9/22 05:35,74.5,27.9
21/9/22 05:40,74.5,27.9
21/9/22 05:45,74.5,27.9
21/9/22 05:50,74.5,27.9
21/9/22 05:55,74.5,27.9
21/9/22 06:00,76.2,27.9
21/9/22 06:05,74.5,28.3
21/9/22 06:10,74.5,28.3
21/9/22 06:15,74.5,28.3
21/9/22 06:20,74.5,28.3
21/9/22 06:25,74.5,28.3
21/9/22 06:30,74.5,28.3
21/9/22 06:35,74.5,28.3
21/9/22 06:40,74.5,28.3
21/9/22 06:45,74.5,28.3
21/9/22 06:50,74.5,28.3
21/9/22 06:55,74.5,28.3
21/9/22 07:00,74.5,28.3
21/9/22 07:05,74.5,28.3
21/9/22 07:10,74.5,28.3
21/9/22 07:15,74.5,28.3
21/9/22 07:20,74.5,28.3
21/9/22 07:25,74.5,28.3
21/9/22 07:30,74.5,28.3
21/9/22 07:35,74.5,28.3
21/9/22 07:40,74.5,28.3
21/9/22 07:45,74.5,28.3
21/9/22 07:50,74.5,28.3
21/9/22 07:55,74.5,28.3
21/9/22 08:00,74.5,28.3
21/9/22 08:05,74.5,27.2
21/9/22 08:10,74.2,27.2
21/9/22 08:15,74.5,27.2
21/9/22 08:20,74.5,27.2
21/9/22 08:25,74.5,27.2
21/9/22 08:30,74.5,27.2
21/9/22 08:35,74.5,27.2
21/9/22 08:40,74.5,27.2
21/9/22 08:45,74.5,27.2
21/9/22 08:50,74.5,27.2
21/9/22 08:55,74.5,27.2
21/9/22 09:00,74.5,27.2
21/9/22 09:05,74.5,27.2
21/9/22 09:10,74.5,27.2
21/9/22 09:15,74.5,27.2
21/9/22 09:20,74.5,27.2
21/9/22 09:25,74.5,27.2
21/9/22 09:30,74.5,27.2
21/9/22 09:35,74.5,27.2
21/9/22 09:40,74.5,27.2
21/9/22 09:45,74.5,27.2
21/9/22 09:50,74.5,27.2
21/9/22 09:55,74.5,27.2
21/9/22 10:00,74.5,27.2
21/9/22 10:05,74.5,27.2
21/9/22 10:10,74.5,27.2
21/9/22 10:15,74.5,27.2
21/9/22 10:20,74.5,27.2
21/9/22 10:25,74.5,27.2
21/9/22 10:30,74.5,27.2
21/9/22 10:35,74.5,27.2
21/9/22 10:40,74.5,27.2
21/9/22 10:45,73.2,27.5
21/9/22 10:50,74.5,27.5
21/9/22 10:55,74.5,27.5
21/9/22 11:00,74.5,27.5
21/9/22 11:05,74.5,27.5
21/9/22 11:10,74.5,27.5
21/9/22 11:15,74.5,27.5
21/9/22 11:20,74.5,27.5
21/9/22 11:25,74.5,27.5
21/9/22 11:30,74.5,27.5
21/9/22 11:35,74.5,27.5
21/9/22 11:40,74.5,27.5
21/9/22 11:45,74.5,27.5
21/9/22 11:50,74.5,27.5
21/9/22 11:55,74.5,27.5
21/9/22 12:00,74.5,27.5
21/9/22 12:05,74.5,27.5
21/9/22 12:10,74.5,27.5
21/9/22 12:15,74.5,27.7
21/9/22 12:20,74.5,27.7
21/9/22 12:25,74.5,27.7
21/9/22 12:30,74.5,27.7
21/9/22 12:35,74.5,27.7
21/9/22 12:40,74.5,27.7
21/9/22 12:45,74.5,27.7
21/9/22 12:50,74.5,27.7
21/9/22 12:55,74.5,27.7
21/9/22 13:00,74.5,27.7
21/9/22 13:05,74.5,27.7
21/9/22 13:10,74.5,27.7
21/9/22 13:15,74.5,27.7
21/9/22 13:20,74.5,27.7
21/9/22 13:25,74.5,27.7
21/9/22 13:30,74.5,27.7
21/9/22 13:35,74.5,27.7
21/9/22 13:40,74.5,27.7
21/9/22 13:45,74.5,27.7
21/9/22 13:50,74.5,27.7
21/9/22 13:55,74.5,27.7
21/9/22 14:00,74.5,27.2
21/9/22 14:05,74.5,27.2
21/9/22 14:10,74.5,27.2
21/9/22 14:15,74.5,27.2
21/9/22 14:20,74.5,27.2
21/9/22 14:25,74.5,27.2
21/9/22 14:30,74.5,27.2
21/9/22 14:35,74.5,27.2
21/9/22 14:40,74.5,27.2
21/9/22 14:45,74.5,27.2
21/9/22 14:50,74.5,27.2
21/9/22 14:55,74.5,27.2
21/9/22 15:00,74.5,27.7
21/9/22 15:05,74.5,27.7
21/9/22 15:10,74.5,27.7
21/9/22 15:15,75.2,27.7
21/9/22 15:20,74.5,27.7
21/9/22 15:25,74.5,27.7
21/9/22 15:30,74.5,27.7
21/9/22 15:35,74.5,27.7
21/9/22 15:40,74.5,27.7
